text,ex3_score,ex4_score,ex5_score,ex6_score,ex7_score
"Czy Ty wiesz, [PERSON NAME], kiedy mieliśmy zamknąć analizę biznesową? Wciąż nie ma podpisu klienta, a teraz zgłaszają nam wciąż nowe oczekiwania i liczą, że zrobimy je w pierwotnej cenie. Załatw sprawę jak najszybciej.",5,4,3,4,3
"[PERSON NAME], słyszałem, że introligator znów wysłał całą stertę niedorzecznych wymagań do systemu. Zbierz mi to do końca dnia i zaproponuj odpowiedź na każdy punkt. Ma być dyplomatycznie, ale gównie odmownie.",5,4,4,4,4
"Hej, czy mógłbyś przeczytać cały załączony dokument i przesłać mi do niego uwagi? Potrzebowałbym tego do południa, jeżeli dasz radę. Pozdrwiam, [PERSON NAME]",5,4,3,4,5
"[PERSON NAME], [COMPANY NAME] przysłało kolejny problem z raportem z [COMPANY NAME]. Sytuacja robi się nieciekawa. Sprawdź o co chodzi i popraw to na cito.",5,4,5,4,4
"[PERSON NAME], kiedy wreszcie przygotujesz ten projekt. Wszystko jest w proszku, a za dwa dni mamy kick-off. Czekam na status do jutra",5,4,4,4,4
"[PERSON NAME], może pogadamy o tych zmianach o [TIME]? Te proste i szybkie są na dzisiaj, aby widzieli je już jutro od rana. Pozostałe możemy dokończyć do piątku.",5,4,5,5,4
"Jakich danych potrzebujesz od [PERSON NAME], aby skończyć ten raport na kolejną [DAY]? Daj szybko znać, bo on wybiera się na urlop i za dwa dni będzie zniknięty.",5,3,3,4,5
"[PERSON NAME], podeślij notatkę z dzisiejszego spotkania. Dorzucę swoje 3 grosze i najpóźniej jutro trzeba będzie wysłać ją do klienta. Nie zapomnij o zaproponowaniu dat dla zadań. Bez tego nie zmobilizujemy ludzi po ich stronie.",5,4,4,5,4
"przycisk ""wczytaj dane z poprzedniej umowy"" wpisuje też dane kontrahenta więc musi być przed sekcją „dane kontrahenta”. Popraw to koniecznie jeszcze dziś.",5,5,4,4,4
"Cześć, [PERSON NAME]. Witamy na pokładzie. Pierwsze dni będą czasem zapoznawania się z naszymi procedurami. Masz do zaliczenia 4 podstawowe kursy internetowe. Do tego szkolenie BHP jeszcze dziś o [HOUR]. Dołączysz do zespołu projektowego jeszcze w [DATE]. Powodzenia.",5,4,4,2,2
"[PERSON NAME], zostawiłem w biurze wstępną wersję raportu z audytu. Znajdź jakiegoś gońca, aby podrzucił mi te materiały do [PERSON NAME]. Będę tu do [HOUR]. Wszystko leży w szafie przy oknie.",5,4,3,4,3
"[PERSON NAME], robiłaś notatki na wczorajszym spotkaniu. Możesz mi je podesłać dzisiaj do [HOUR]?",5,5,5,5,5
"[PERSON NAME], popraw proszę na 10 stronie slajd z raportem. Poprawiony dokument prześlij do [PERSON NAME] jeszcze dzisiaj do [HOUR].",4,5,4,5,5
"[PERSON NAME], kiedy [COMPANY NAME] ma przesłać Twoje poświadczenie [COMPANY NAME]? Wiem, że nie wszystko od Ciebie zależy, ale zwlekałeś z przesłaniem wniosku, a teraz mamy spięcie na linii z ministerstwem. Jakiś audytor ciśnie ich o pokazanie kwitów, a my dajemy ciała. Załatw sprawę do poniedziałku.",4,3,5,4,4
"[PERSON NAME], Twój raport trzeba jeszcze uzupełnić o prognozy na kolejne trzy kwartały. Porozmawiajmy dziś po [HOUR] o założeniach. [PERSON NAME].",4,3,3,4,4
"[PERSON NAME], daj znać do [COMPANY NAME], że nie zapłacili jeszcze faktury za [DATE] i [DATE]. Jeśli nie uregulują zadłużenia do końca tygodnia, to odetniemy im dostęp do aplikacji w chmurze.",4,3,4,4,3
"[PERSON NAME], kiedy będziemy mogli zająć się tym błędem aplikacji delegacyjnej dla [PERSON NAME]? Proponuję, abyś zabukował sobie czas jutro międzu [TIME] a [TIME].",4,3,4,3,4
"Dzień dobry, Czy byłaby możliwość przeniesienia jutrzejszego spotkania na wcześniejszą lub późniejszą godzinę? [TIME] – [TIME] lub [TIME] – [TIME]",4,3,4,4,5
"Dzień Dobry, Proszę o pilny kontakt. Chciałabym porozmawiać o narzędziu. Pozdrawiam,",4,4,3,3,3
"Cześć, [PERSON NAME], powiedz [PERSON NAME], że lot mi się opóźnił. Niech przełoży jutrzejsze spotkanie z [PERSON NAME] z [TIME] na [TIME].",4,3,4,5,4
Witaj [PERSON NAME]. Podesłałem Ci propozycję aneksu dla [COMPANY NAME]. Potrzebuję Twoich poprawek na jutro. Wysyłam końcową wersję około [TIME].,4,3,4,5,4
"Panowie, Moglibyście proszę wystawić jakieś demo [COMPANY NAME] dla następującego użytkownika: [E-MAIL ADRESS] Koniecznie muszą tam być jakieś gotowe procesy i aplikacje oraz jakieś zadania do wykonania dla tego użytkownika. To jest UX ekspert z firmy [COMPANY NAME], który ma wstępnie rozejrzeć się po platformie przed spotkaniem, na którym mamy uzgodnić warunki audytu UI/UX, który być może wykona dla nas firma [COMPANY NAME]. Tylko to demo powinno być gotowe najpóźniej na jutro. Dzięki, [PERSON NAME]",4,3,2,3,3
"[PERSON NAME], czy przygotowałaś prezentację na spotkanie [COMPANY NAME]? Spotkanie jest już jutro o [TIME]. Prześlij je do mnie dzisiaj do [TIME]. Chciałbym na nie popatrzeć przed prezentacją.",4,3,4,5,5
"[PERSON NAME], jaki jest status projektu [COMPANY NAME]. Za dwa dni mamy spotkanie wewnętrzne. Możesz mi wysłać dzisiaj do [TIME] notatkę z poprzedniego spotkania, które było dwa tygodnie temu?",4,3,4,5,5
Prośba o informacje czy możemy wprowadzić taką zmianę. Jeżeli otrzymamy ją jeszcze dzisiaj to wprowadzimy tą zmianę jeszcze przed jutrzejszym spotkaniem,4,4,4,4,5
"[PERSON NAME], nie ma w tym tygodniu developerów, bo się szkolą. Potrzebuje jednak kopii [COMPANY NAME] dla [PERSON NAME], bo ich PM się ożywił. Wyciągnij kopię z archiwum i podeślij do końca dnia.",4,3,3,4,3
"[PERSON NAME], czekam na rozliczenie kosztów projektu do jutra. Nie zapomnij o mandaysach analityków. Słyszałem, że przepalili mnóstwo czasu na spotkaniach z działem projektowym. To wszystko powoli przestaje się spinać.",4,3,3,4,2
"[PERSON NAME], prześlij mi grafik [PERSON NAME]. Nie mogę go złapać, a jutro mamy spotkanie z [PERSON NAME]. Miało się odbyć o [TIME], a zostało przełożone na [TIME].",4,3,4,5,4
Cześć. Pan [PERSON NAME] poprosił o kilka spotkań w przyszłym tygodniu. Testy procesu spadkowego przesunięte do [DAY]. Rejestracja czasu pracy rusza od dziś. Priorytet na uruchomienie. Pamiętaj tylko o zamówieniu. Miłego dnia,4,4,3,4,3
"[PERSON NAME], potrzebuję statystyki projektowe za mijający kwartał. Jaka część sprintów skończyła się w zakładanym czasie, ile mieliśmy obsunięć.  Dorzuć też garść danych o kosztach. Wszystko to idzie do raportu dla [COMPANY NAME], która ma spotkać się [DATE]. Potrzebujemy więc tego tak szybko, jak się da",4,3,2,4,4
[PERSON NAME]. Do instrukcji musisz dodać zrzuty ekranów z sekcji pierwszej i piątej. Zaznaczyłem wszystko w pliku. Odeślij mi całość jutro do [TIME].,4,3,4,5,4
"Potrzebuję na jutro nowe środowisko demo z aplikacjami RODO. Przygotuj je, [PERSON NAME], i podeślij mi namiary. Zwrotnie dam ci listę użytkowników do ustawienia.",4,3,4,4,4
"[PERSON NAME], wrzuć, proszę, na [COMPANY NAME] - [LINK], nagranie z drugich warsztatów, które odbyły się pod moją nieobecność [DATE]. Klient przypomniał się właśnie w tej sprawie i pogania nas.",4,3,2,2,2
"Mamy obsuwę w projekcie na przynajmniej 2 tygodnie. Wciąż klient nie dostarczył wypełnionej ankiety audytowej. Zaproponuj, [PERSON NAME], co możemy z tym zrobić.",4,4,3,3,3
"[PERSON NAME], wysłałam Ci uwagi do analizy [COMPANY NAME]. Odpisz w komentarzach i odeślij dokument do jutra do [TIME].",4,3,4,5,5
"[PERSON NAME], skończ dziś temat delegacji, bo od jutra musimy zająć się obiegiem faktur dla [COMPANY NAME]. Tam deadline jest na koniec [DATE], więc czasu niewiele. Zaczynamy od kwestii akceptacji u [PERSON NAME].",4,3,4,4,3
"[PERSON NAME], zamykamy księgi w [DAY], więc obdzwoń klientów i sprawdź, czy wszystkie faktury trafiły do adresatów. Nie możemy sobie pozwolić na żadne zwroty. Szczególnie zwróć uwagę na spożywkę, bo oni lubią przedłużać płatności i wszystko zwalać na nas.",3,2,2,2,1
"[PERSON NAME], podeślij mi pilnie fajle z raportami kwartalnej sprzedaży z zeszłego roku. W przyszłym tygodniu będzie kontrola i chcę to mieć pod ręką.",3,3,3,3,4
"[PERSON NAME], będę wdzięczny za podesłanie strategii zmian w obszarze IT [COMPANY NAME] do jutra. Wiem, że czasu jest mało, ale już mamy prawie tydzień opóźnienia. Tracą cierpliwość. Potrzebne jest coś ekstra, aby nie zaczęli szaleć. Może zaproponuj 3 scenariusze, niech mają nad czym główkować.",3,3,3,4,3
"[PERSON NAME], potrzebuję Cię w przyszły [DAY] u [COMPANY NAME]. Masz prawie dwa tygodnie na przygotowanie strategii cross-sellingu. I ani dnia dłużej. To musi zaskoczyć. Ruszamy przynajmniej 25% w górę, albo zamykamy Twój zespół.",3,2,3,2,2
"[PERSON NAME], spotkaj się z [PERSON NAME] jeszcze dziś i ustalcie wydatki marketingowe na kolejny kwartał. Musimy zamknąć budżet do [DATE].",3,3,2,4,3
"[PERSON NAME], daj mi do [DAY] znać którą wersję platformy będziemy wgrywać. Muszę przesłać info do klienta jeszcze w tym tygodniu, a trzeba jeszcze przygotować instrukcje dla użytkowników. To również Twoje zadanie.",3,3,3,4,4
"Tak, jak najbardziej możemy jutro omówić wszystkie kwestie. Myślę, że najlepiej by było umówić się w [TIME]-[TIME]. Pozdrawiam,",3,2,4,3,4
"[PERSON NAME], gdzie zapisałaś zrzuty ekranów potrzebne do napisania instrukcji Delegacji. Proszę, wyślij mi je jutro do [HOUR].",3,2,4,5,4
"[PERSON NAME], czy moglibyśmy się jutro zdzwonić w sprawie statusu różnych tematów u Was. Pytałeś też ostatnio o podpis kwalifikowany – mamy update w tym temacie. Kiedy jutro by Ci odpowiadało (30 min – 1h), godziny między [TIME] [TIME] dowolne? Pozdrawiam,",3,3,3,3,3
"Mógłbyś do jutra przeczytać załączoną ofertę pod względem poprawności językowej i logiki? Pozdrawiam, [PERSON NAME]",3,4,3,3,4
"[PERSON NAME], sprawdź proszę poniższe punkty i zdzwońmy się jak będziemy wiedział, czy to faktycznie błędy. Pozdrawiam,",3,2,2,3,3
"[PERSON NAME], spotkaj się dziś z [PERSON NAME] i ustalcie główne założenia do procedury [COMPANY NAME]. Propozycję materiału na [COMPANY NAME] potrzebujemy do końca miesiąca.",3,3,2,4,3
"[PERSON NAME], koniec pajacowania. Ten zestaw procedur ma być na moim kompie do [DAY]. Sczytany, bez literówek i innego śmiecia. Weź do pomocy kogo chcesz, ale tu już nie ma przebacz.",3,2,4,3,2
"[PERSON NAME] i [PERSON NAME], doceniam Wasze wysiłki w pozyskaniu tych ciepłowni ze [GEOGRAPHIC NAME]. Czekam jednak na konkretne wyniki. Prześlijcie mi na jutro rano szacunki sprzedaży. W stosunku do ich realizacji będzie liczona Wasza premia. Pamiętajcie jednak, że cel ma być ambitny.",3,3,3,3,2
"Cześć, Do mnie zaproszenie na jutro nie dotarło. Sforwarduj, proszę.",3,3,1,4,3
"Cześć, Zobaczysz co się dzieje? Daj znać jeśli potrzebujesz więcej informacji.",3,3,3,2,3
"[PERSON NAME], potrzebuje Cię złapać między [DAY] a [DAY]. Mam pilny temat do omówienia w sprawie [COMPANY NAME].",3,3,5,3,5
"Cześć! Potrzebuję opublikować 3 ogłoszenia o pracy na [COMPANY NAME] do [DAY]. Dla developera, UX designera i handlowca. Przygotuj, proszę, treść - wraz z profilem firmy – na jutro, [TIME].",3,2,3,5,3
"[PERSON NAME], Twoje jutrzejsze spotkanie z [PERSON NAME] Co. jest aktualne. Odbierz ich z lotniska o [TIME]. Potem macie obiad na [PERSON NAME]. Przyprowadź ich do mnie około [TIME].",3,3,2,4,4
"[PERSON NAME], przygotuj grafik urlopów w okresie wakacyjnym. Dostarcz to do HRów jeszcze w tym tygodniu, abyśmy mogli zabezpieczyć front robót, gdyby wyskoczył jakiś niespodziewany projekt. Sprawa pilna i wazna.",3,3,3,4,3
"Dzień dobry, bardzo proszę o potwierdzenie, że po aktualizacji wersji [COMPANY NAME] integracja z [COMPANY NAME] będzie możliwa. Nie ukrywam, że bardzo mi zależy na czasie i chciałabym aby proces jak naszybciej ruszył. Pozdrawiam",3,2,3,3,3
"Cześć, bardzo proszę o przesyłanie zmian do wprowadzenia. Mamy ograniczone możliwości czasowe na wykonanie zmian. Pozdrawiam [PERSON NAME]",3,2,2,2,2
"Dzień dobry, w takim razie przystępuję dziś do konfiguracji. Proszę o przesłanie [COMPANY NAME] SMS-em. [PERSON NAME]",3,3,3,2,4
"Dobrze, to zrób dziś taki opis na formularzu jak ustaliliśmy, a ostatecznie zdecyduje klient. Popraw też raporty - wszędzie należy dać w odpowiednim miejscu nagłówki ""Nazwa i numer dokumentu"", a z Umów powierzenia usunąć kolumnę „Numer dokumentu”.",3,2,3,3,2
"[PERSON NAME], rozmowa o ocenie rocznej będzie pojutrze w południe. Przygotuj samoocenę.",3,2,3,4,4
Cześć [PERSON NAME]. Mobilna wersja aplikacji to clue całego projektu. Cała reszta to tylko dodatek. Podeślij mi jutro kto u Ciebie będzie zajmował się tematem i jego/jej szacunki pracochłonności,3,2,3,3,4
"[PERSON NAME], spróbuj tym razem nie spóźnić się z dostawą kodów dla encji. Reszta zespołu liczy na Ciebie. Musisz zamknąć temat do [DAY]. Inaczej nie ręczę za siebie.",3,3,3,3,2
"Dzień dobry, Potrzebujemy trochę więcej czasu na wprowadzenie uwag z naszego [DAY] spotkania. Czy moglibyśmy się spotkać na kolejną rundę dyskusji jutro po [TIME] lub w [DAY]? Pozdrawiam, [PERSON NAME]",3,2,3,3,3
"Jest interes do zrobienia. Potrzebuję od Ciebie tylko pełnego zaangażowania we [DAY] i w [DAY]. Zarezerwuj sobie, [PERSON NAME], czas w kalendarzu, aby nic nam nie przeszkadzało w domknięciu oferty.",3,2,3,2,2
"[PERSON NAME], przejrzyj do [DAY] te materiały o [COMPANY NAME]. Potrzebuję konkretnych wytycznych dla developerów, aby zrobić coś podobnego dla [COMPANY NAME]. To duży deal, z niesamowitymi perspektywami.",3,2,3,3,3
"Pani [PERSON NAME], Mamy dla Państwa okienko: [DATE], [TIME] – [TIME]. Czy Państwu pasuje ten termin? Na pytania postaram się jeszcze dzisiaj odpowiedzieć. Pozdrawiam, [PERSON NAME]",3,1,2,3,3
"Hej, jutro na spotkaniu up ustalmy proszę dalszy plan. Wydaje mi się, że zanim im oddamy aplikacje na testy, to trzeba im krótko ją zaprezentować.",3,2,3,4,4
"[PERSON NAME], do końca tygodnia prześlij wyniki przeglądu uprawnień do folderów audytowych do mnie i [PERSON NAME]. Jest to pilne, bo kontroler już się z nami umawia na kolejną turę spotkań.",3,2,2,3,3
"Cześć, [PERSON NAME], jutro mamy tego calla z [COMPANY NAME] w sprawie projektu OCR. Możesz mi podesłać dokładną godzinę spotkania?",3,2,2,4,4
"Cześć, [COMPANY NAME] chce się zdzwonić w sprawie umowy w [DAY] ok [TIME]-[TIME] (z prawnikami), jak Twój kalendarz?",3,2,5,3,4
"[PERSON NAME], poproś [PERSON NAME], żeby wysłał mi dokumentację [COMPANY NAME], którą przygotował w [DAY]. Nie mogę się do niego dodzwonić, a potrzebuje tych dokumentów do [DAY] do [TIME].",3,2,2,5,3
"[PERSON NAME], [PERSON NAME] potrzebuje pomocy przy dokończeniu front-endu dla [COMPANY NAME]. Dasz radę wygospodarować z 4 godziny w [DAY], aby z nim popracować?",3,2,2,2,1
"Cześć, jak najbardziej możemy omówić ten temat jutro na spotkaniu o [TIME]. Zaraz wyślę zaproszenie.",3,2,3,3,3
"[PERSON NAME], Do pogadania – daj znać kiedy możemy się zdzwonić Pzdr. [PERSON NAME]",3,1,1,2,3
"[PERSON NAME], do [DAY] przygotuj zbiórkę w firmie w ramach [COMPANY NAME]. Prezes obiecał, że dorzuci drugie tyle, to zbierzemy. Może być jeszcze lepszy wynik niż rok temu.",3,1,2,3,2
"[PERSON NAME], A [DAY] [TIME]? W [DAY] może by dało radę ale tylko 30 min. Moim zdaniem to za mało czasu. Pozdrawiam",3,2,3,2,1
"Panie [PERSON NAME], Bardzo dziękuję za dokument. Czy moglibyśmy umówić się na telekonferencję jutro, ewentualnie w [DAY]? Jeśli tak to prosiłabym o podanie propozycji  najbardziej dogodnych dla Panów terminów i postaram się to spiąć z naszymi kalendarzami.",3,2,2,3,3
"Dzień dobry Panie [PERSON NAME]. Podsyłam propozycje [COMPANY NAME] dla naszego projektu. Proszę o przesłanie podpisanego dokumentu do [DAY], abyśmy zdążyli złożyć ofertę na konsorcjum.  Temat wygląda bardzo interesująco. Razem damy radę.",3,2,3,4,4
"Kiedy uda Ci się przesłać do [COMPANY NAME] update po naszych wczorajszym callu? Tylko to nas jeszcze wstrzymuje przed powrotem do klienta i pchaniem tematu do przodu? Dzięki, [PERSON NAME]",3,1,3,3,4
"[PERSON NAME], wspominałeś coś o pomysłach na wypromowanie naszego e-learningu w sieci. Przygotuj mi opis w kilku buletach i kosztorys. Wszystko na moim biurku w [DAY] rano. Później pomyślimy co z tych pomysłów będzie realnie do wprowadzenia",3,2,1,2,1
"Podeślijcie, na załączonym pliku, zestawienie Waszych godzin za [DATE] dla [COMPANY NAME]. Potrzebuję to do [DAY], do południa.",3,1,4,4,4
"[PERSON NAME], przejrzyj procedurę i dodaj swoje uwagi. Ostateczną wersję wysyłamy do prezesa w [DAY].",3,2,3,3,3
"Mamy dla Państwa okienko: [DAY] [DATE], [TIME] – [TIME]. Czy Państwu pasuje ten termin? Na pytania postaram się jeszcze dzisiaj odpowiedzieć.",3,2,2,4,4
"Cześć, Nie do końca rozumiem jak działają te procesy. Możemy jutro spotkać się i omówić wewnętrznie?",3,2,4,4,4
"Panowie, zdzwońmy się żeby omówić kwestie przetargu do [COMPANY NAME]. Proponuję dziś [TIME], jutro [TIME] – dajcie znać jak Wam odpowiada. - zapytanie od [COMPANY NAME] - załączam. Pozdrawiam serdecznie",3,1,2,3,3
"[PERSON NAME], gdzie znajdę raport, który przygotowałaś dla [PERSON NAME]. Potrzebuje go do [DAY].",3,2,3,5,3
"[PERSON NAME], prośba z mojej strony, dałbyś radę coś przeorganizować, żeby jednak zrobić spotkanie z [COMPANY NAME] w ten [DAY] o [TIME]? Oni mi płaczą, że mają dużo osób na spotkanie i trudno zgrać kalendarze, a chcielibyśmy domknąć ten temat jak najszybciej Pozdrawiam, [PERSON NAME]",3,2,2,4,3
"[PERSON NAME], pamiętaj o wprowadzeniu dokumentacji [COMPANY NAME] do repozytorium. Potrzebujemy jej na [DAY]. Mamy spotkanie o [TIME].",2,2,3,4,4
"[PERSON NAME]. Znajdź oferty najlepszych szkoleń dla [COMPANY NAME] na rynku. Zrób ich zestawienie, silne i słabe strony. Zaproponuj jak możemy wejść na ten rynek z naszym potencjałem. Porozmawiajmy o tym w [DAY] u Ciebie w biurze, tak koło [TIME].",2,1,2,2,1
"Panie [PERSON NAME], puściłem zaproszenie na telko w [DAY]. Porozmawiamy o aneksie do umowy, który Pan wczoraj przesłał.",2,1,1,4,3
"Witaj [PERSON NAME]. Wysyłamy wkrótce wniosek do [COMPANY NAME] i brakuje nam już tylko kilku detali. Między innymi bilansu i rachunku wyników za ostatnie dwa lata. Pchnij je do [PERSON NAME], najdalej w [DAY].",2,2,3,4,3
"[PERSON NAME], przygotuj, proszę, zestawienie umów z zeszłego roku, z uwzględnieniem wdrożeń on-prem i w chmurze. Spotkajmy się w [DAY] o [TIME], aby omówić wyniki.",2,1,2,3,3
"[PERSON NAME], podeślesz mi powerpointa z ostatnia ofertą dla [PERSON NAME]? Będę miał podobny temat u nowego klienta i chciałbym skorzystać z wypracowanego wzorca. Mam za mało czasu na budowanie czegoś od nowa.",2,1,2,2,2
"[PERSON NAME], potrzebujemy przygotować nowy raport dla [COMPANY NAME] z obiegu faktur. Coś ze split payment. Znajdziesz na to czas w tym tygodniu? Klient nie płaci dużo, ale przynajmniej solidnie, na czas.",2,2,2,2,2
"Proponujemy spotkać się w [DAY] [DATE]. Dostępność  pomiędzy godzinami [TIME] a [TIME]. Proszę o informację, która godzina będzie dla Państwa możliwa.",2,1,2,3,3
"[PERSON NAME], kto ostatnio robił nam pentesty? Znajdź mi na [DATE] sprytną ekipę, abyśmy zdążyli połatać ewentualne dziury zanim [COMPANY NAME] upomni się o wyniki corocznych sec-przeglądów",2,1,1,2,1
"Cześć, mógłbyś podesłać nam ten plik, albo wrzucić go na [COMPANY NAME]? Nie mamy dostępu do [FOLDER PATH]. Dzięki",2,1,3,3,3
"Witam, podeślijcie mi proszę hasło do pliku. Wydaje mi się, że mogło zostać przekazane jedynie do [PERSON NAME]. Pozdrawiam / Best regards, [PERSON NAME]",2,1,2,2,2
"[PERSON NAME], Twój pomysł na promocję [COMPANY NAME] jest świetny. Potrzebuję tylko paru szczegółów, aby przedstawić go zarządowi. Spotkajmy się jutro na lunchu i dogadajmy detale. Wrzucam wstępne zaproszenie w [COMPANY NAME].",2,2,2,4,2
"[PERSON NAME], Załóż, proszę, testowe konto dla Pani [PERSON NAME]. Jak dla tego gościa z [COMPANY NAME]. Podeślij mi, proszę, użytkownika i hasło początkowe. Wyślę do klientki.",2,2,2,1,1
"[PERSON NAME], liczę na Twój udział w kick-off procesu spadkowego w [COMPANY NAME]. Zaczynamy w [DAY], w samo południe, na [GEOGRAPHIC NAME]. Czekam na Twoje sugestie co do poprowadzenia tego spotkania, a w szczególności pierwszych zadań dla ludzi po stronie klienta.",2,1,1,2,1
[PERSON NAME]. Klient oczekuje jednego artykułu miesięcznie o tematach związanych z RODO. Do [DATE]. Najbliższy artykuł potrzebuje od Ciebie najpóźniej w [DATE].,2,2,2,4,3
"Cześć, [PERSON NAME], [PERSON NAME] odpisał do mnie, że mógłby się spotkać w drugiej połowie tygodnia. Ja bym proponował [DAY] o [TIME], albo nawet o [TIME]. Proszę, daj mi znać, jaki termin ci pasuje. Pozdrawiam, [PERSON NAME]",2,1,2,3,3
"Dzień dobry pani [PERSON NAME], Mamy jeden przypadek u właściciela [COMPANY NAME] który chciał zrobić wymagany przegląd [COMPANY NAME], ale niestety przy wyborze przeglądu i przy próbie wyszukiwania kontrahenta nie pojawia się on w wynikach wyszukiwania. Właściciel nie otrzymał również powiadomienia o zbliżającym się terminie badania. Na raporcie z rejestru [COMPANY NAME] jest informacja o poprawnym przypisaniu właściciela: Proszę o weryfikację po Państwa stronie.",2,1,1,1,1
"[PERSON NAME], kiedy możemy spotkać się raz jeszcze, zadamy jeszcze raz pytania techniczne? Oczywiście pytania oraz nasze wątpliwości postaram się wysłać jutro mailem tak żebyście mieli materiał aby się przygotować. Pozdrawiam [PERSON NAME]",2,2,3,4,3
Dzień dobry Panie [PERSON NAME]. Czy możemy liczyć na skan podpisanej umowy? Dziękuję Pozdrawiam [PERSON NAME],2,1,1,1,1
Idziemy dziś się nieco wyluzować po robocie. Daj znać do [TIME] ile osób od Ciebie pójdzie. Załatwię rezerwację „U [PERSON NAME]” na bilardzie.,2,2,3,3,2
"[PERSON NAME], słyszałem, że u Ciebie parę osób wypadło ostatnio z zespołu. Uzgodnij z pośrednikiem kogo potrzebujesz i szybko ruszajcie z rekrutacją. Masz zielone światło. Pamiętaj tylko, że budżet kadrowy musisz wykorzystać najpóźniej do końca kwartału. Potem nici z kasy.",2,1,2,3,2
"[PERSON NAME], kiedy będziesz dostępna w przyszłym tygodniu? Potrzebuję ze dwie godziny na małe warsztaty z Design Thinking. Klient się uparł na tę metodykę i bez tego spotkania ani rusz. Czekam na wrzutkę do kalendarza",2,2,2,3,2
