text,ex1_score,ex2_score
"Pani Wincenty, bardzo mi przykro, ale muszę jeszcze raz przełożyć spotkanie, które ma Pani z Panem Radomirem Grodulą.",5,4
Proszę zaplanować 30 minut z Dieterem.,5,4
"Czy możesz poprosić osobę, która zgłasza się do Walerego Kowenickiego, aby poinformowała mnie o naszych ruchach od 30, abym mógł wrócić z Fabianem w tym tygodniu?",5,4
"A tak przy okazji, czy jesteś wolny na obiad w poniedziałek?",5,3
"Porozmawiajmy, kiedy jestem w Dubaju.",5,5
Proszę o przesłanie do Władysława Górniga do ostatecznego przeglądu i jeszcze jednego przejścia przez jednostki biznesowe w poniedziałek.,5,4
"Proszę daj mi znać, jeśli osiągnie 20 z Twoją aprobatą.",5,4
Możesz mnie spotkać w biurze w środę lub w przyszłym tygodniu w domu.,5,4
Nie odnotowaliśmy w sprawozdaniach finansowych 8 milionów dolarów CDN z zawartych transakcji – możesz się temu przyjrzeć.,5,3
"Będziemy musieli zapłacić i wydostać się do naszej dziury, więc daj sobie trochę czasu, jeśli chcesz uderzyć kilka, zanim zaczniemy grać.",5,3
"Daj nam znać, co myślisz o Olimpii Hołówek i naszych nowych funkcjach udostępniania.",5,3
"Spotykamy się jutro z GE, aby o tym porozmawiać.",5,5
"Jeśli masz jakieś pytania, zadzwoń do mnie, a my porozmawiamy.",5,4
Zadzwoń do mnie w poniedziałek i umówimy się na konferencję.,5,4
"Daj mi znać, kiedy będziesz mógł wysłać mapy.",5,4
"Pomocna byłaby wiadomość e-mail lub poczta głosowa na temat głównych wydarzeń, które się pojawiają.",5,4
"Może po tym, jak spojrzysz na rzeczy, możemy to omówić.",5,4
"Zdzisława Bleszyński, czy pokazałabyś Beavy'emu, jak poprosić o zwolnienie z CNG na paliwo na lipiec?",5,3
"Zadzwonię do Ciebie przed końcem tygodnia, aby omówić to zalecane podejście.",5,4
"Pelagia @ben_wiggin po prostu potrzebuję czegoś, abym mógł otrzymywać wiadomości Ksawera Cope 14 czerwca",5,3
"Czy możesz od razu się z nią spotkać i zobaczyć, co możesz wymyślić?",5,4
Chcielibyśmy jednak przesunąć spotkanie na 14.00. Wtorek.,5,4
"Porozmawiajmy najpierw, zanim dzień zwariuje.",5,4
"Jestem dostępny około 11:45 mojego czasu, jeśli chcesz wtedy porozmawiać.",5,4
"Jeśli jutro (niedziela) masz otwarte, wtedy do ciebie zadzwonię.",5,3
"Wiem, że to twój pierwszy dzień z powrotem i prawdopodobnie jesteś zalany, ale kiedy będziesz miał okazję, zadzwoń do mnie.",5,3
"Plan poznam po pracy w piątek, zadzwonię i dam znać, kiedy i gdzie odbędą się nasze mecze.",5,4
"Pamiętaj, że Bogdan czyta całą moją pocztę, więc nie wysyłaj niczego zbyt osobistego.",5,3
Zadzwoń do mnie JAK NAJSZYBCIEJ w sprawie marketingu partnerskiego w umowie TW Enron Online.,5,4
Porozmawiam z tobą jutro o 8:30.,5,4
Spójrz na nie i zadzwoń do mnie.,5,4
"Umów się również na spotkanie z Malwiną, aby omówić pomoc IT w realizacji naszego planu.",5,4
"Upewnij się, że wiadomość z poleceniem jest wysyłana w postaci zwykłego tekstu lub wieloczęściowego/alternatywnego tekstu i html.",5,3
"Cześć, zapisz ten ważny e-mail.",5,4
"Wyślij nam e-mail, jeśli masz jakiekolwiek problemy podczas rejestracji.",5,2
O której przyjeżdżasz w piątek?,5,3
"Spróbuj i powiedz nam, co myślisz.",5,4
Czy mógłbyś zorganizować połączenie konferencyjne i przesłać informacje na poniższą listę?,5,4
Możemy dalej dyskutować we wtorek.,5,4
"Twanda, zapisz to w moim kalendarzu.",5,4
"Czy chcesz spotkać się jutro kilka minut wcześniej, aby porozmawiać o odszkodowaniach/LOL itp.?",5,4
"Możesz wysłać do mnie wiadomość e-mail, a moja sekretarka skontaktuje się w celu potwierdzenia terminu i miejsca spotkania.",5,4
Zachowaj ten e-mail dla swojej dokumentacji.,5,3
"Myślę, że musimy wrócić do Izabelli nie w przyszłym tygodniu, ale w następnym z słomakiem.",5,4
"Czy możemy się spotkać, żeby o tym porozmawiać w poniedziałek?",5,5
Spotkajmy się o 11:30 w holu.,5,4
"W najbliższy poniedziałek zorganizujemy wewnętrzne spotkanie podsumowujące, aby dokonać przeglądu potencjalnych projektów, nad którymi moglibyśmy współpracować w przyszłości.",5,4
Porozmawiajmy dziś po południu na temat uzyskania zwrotu kosztów od Oglethorpe na Transco.,5,4
Mój asystent Anatoliusz Borwik zaplanuje spotkanie.,5,4
"Na podstawie naszej wczorajszej rozmowy możesz rzucić okiem na moją listę krajowych aprobat produktów i dać mi znać, czy są jakieś aktualizacje informacji.",5,4
"Irmino Słowak, miałam nadzieję, że może uda nam się znaleźć pół godziny na przedyskutowanie twoich przemyśleń na temat twojej obecnej roli.",5,4
"Chłopaki, umówmy się na spotkanie między nami trzema jak najszybciej w poniedziałek, aby omówić.",5,5
Arletta Mackiewicz-Tomasik: proszę o jak najszybsze złożenie oferty Rajnoldowi.,5,4
Przyszła sobota lub niedziela będzie dla mnie pracować.,5,3
Czy jesteś dostępny w tym tygodniu?,5,4
"Jeśli uważasz, że ciekawie oceniasz partnerstwo, spotkam się z Tobą w Nowym Jorku jak najszybciej przed niedzielą, kiedy będę musiał pojechać do Włoch na kilka spotkań.",5,4
Czy możemy spróbować ponownie w piątek o 10 rano?,5,3
"Twanda, czy mogłabyś zorganizować dla mnie to spotkanie?",5,4
"Byłbym wdzięczny za poświęcenie kilku minut i przekazanie mi szczegółowych informacji na temat Twojej aplikacji i Twoich wymagań dotyczących rozpoznawania OCR, abym mógł pomóc w ustaleniu, czy pakiet MSDK jest dla Ciebie odpowiednim produktem.",5,3
Zobacz też e-mail.,5,4
"Ale inne dokumenty są w drodze do mnie, rozumiem, podpisuję, ty i donny podpisz, odsyłam, waaaala!!",5,3
Porozmawiam z tobą jutro podczas rozmowy.,5,5
"Zapoznaj się z poniższymi informacjami i porozmawiajmy, czy to naprawdę działa.",5,4
"Daj mi znać, jak chciałbyś kontynuować i przekaż moje szczere przeprosiny (i najlepiej) Kamilli Nabojczyk.",5,4
"Czy możesz przyjść i zobaczyć się ze mną, kiedy wejdziesz?",5,4
"Jeśli możesz argumentować, że ten gaz płynie bez ograniczeń, to nie widzę problemu w złożeniu stałej ceny za cały wolumen.",5,3
"Daj mi znać, czy można to załatwić.",5,4
"Mateusz, Po tym wszystkim, co wydarzyło się w ciągu ostatnich kilku tygodni, wiem, że musisz być niesamowicie zajęty; ale jeśli możesz to popracować, Narcyz Troncik i ja chcielibyśmy spotkać się z tobą na około 30-40 minut, aby przekazać ci aktualne informacje na temat dwóch wymienionych poniżej inicjatyw, mających na celu zorganizowanie igrzysk olimpijskich 2012 w Houston. 1. Przebudowa Astrodome na obiekt lekkoatletyczny.",5,4
Idź do domu dziś przed 23:00!,5,2
Kiedy chciałbyś porozmawiać na temat: p. Hanki Waraszkiewicz?,5,4
Czy możemy ich zaprosić na kolację 18 i na spotkania w piątek?,5,3
Eugeniusza Olejarza-Środeckiego proszę o grafik.,5,4
"Wiem, że jeszcze się nie spotkaliśmy, ale muszę poprosić ciebie i Nancy o małą przysługę.",5,4
"Kiedy się spotykamy, chciałbym usiąść i przejść przez szereg zmian organizacyjnych i tego, co możemy chcieć zrobić na froncie regulacyjnym, aby wspierać te firmy.",5,4
"W przeciwnym razie daj mi znać, a dopracujemy ten proces, aby uzyskać to, czego potrzebujesz.",5,4
"Jeśli masz jakieś uwagi lub pytania, zadzwoń do Zenona Szerffela, starszego radcy prawnego, pod numer (713) 345-8897, ponieważ przez resztę tygodnia będę na wakacjach.",5,3
Czy nasi pracownicy działu HR przygotowali już dla mnie mieszkanie?,5,3
"Więc mogę otrzymać aktualne informacje na ten temat, kiedy jutro porozmawiamy.",5,5
Chciałbym się z tobą spotkać i podzielić się nowymi opowieściami o nieszczęściu z grupy rurociągów.,5,3
"Chłopaki, zorganizuję comiesięczne spotkanie między mną a wami, aby omówić przebieg transakcji, priorytety i strategię - myślę, że uznacie to za bardziej efektywne i mogę ograniczyć inne spotkanie.",5,4
"Przepraszamy, proszę, zignoruj ​​to.",5,3
"Przepraszam za pytanie, ale coś się pojawiło i chciałem zapytać o szanse na udział w finale E203 w dniu innym niż niedziela 10 grudnia.",5,3
Powinniśmy spróbować porozmawiać jutro lub w piątek.,5,5
"Możemy spotkać się w moim biurze, jeśli chcesz, lub w kawiarni.",5,4
Czy mógłbyś sprawdzić stan zapytania licznika 02325 i dać mi znać gdzie on stoi?,5,4
"Jak tam 8 rano PDT, 11 rano EDT? Czy mógłbyś mi dokładnie podsumować, o czym chciałaby porozmawiać?",5,4
Ale może przyda się omówić jutro po powrocie.,5,4
"Musimy skończyć z umową site specific na sprzęt, wtedy mogą mieć całą enchiladę.",5,3
"Skontaktuję się z nami, jeśli wtorkowy lunch się rozpocznie.",5,4
"Na początku przyszłego tygodnia będziemy mieć kolejny rysunek, więc proszę zaloguj się teraz na UnitedWay.enron.com.",5,2
"Przed przesłaniem zgłoszenia prosimy najpierw sprawdzić naszą bazę wiedzy, ponieważ być może mamy już artykuł dotyczący Twojego zapytania.",5,3
Jesteś dostępny na szybki telefon?,5,3
"Zadzwoń do nas jutro, aby krótko omówić.",5,4
"Zadzwoń, kiedy usiądziesz.",5,4
"Prosimy o zapoznanie się z załączonym listem, który wysłaliśmy do Adrianny Bialic-Kryczka w zeszłym tygodniu.",5,4
"Czy będziecie mogli być tutaj, aby wspierać księgowych do godziny 17:00?",5,4
Czy istnieją lokalne problemy prawne związane z wykonaniem lub interpretacją umów?,5,3
"Czy mógłbyś napisać bardzo krótkie streszczenie tego, co miało miejsce w konkursie IEP PR?",5,4
"Prosimy o zapoznanie się z załączonym dokumentem, aby sprawdzić, czy odzwierciedla on omówione przez nas kwestie.",5,4
"Czy są inne prezentacje, którym warto się przyjrzeć przygotowując się do wystąpienia?",5,3
"Chcielibyśmy zrobić więcej, jeśli to możliwe dzisiaj lub jutro.",5,5
"Przedstawimy wszystkie opcje i pozwolimy Ci zdecydować, bez osądu z naszej strony.",5,4
"Jeśli chcesz omówić to dalej, zadzwoń do mnie.",5,4
"Chciałabym spotkać się z wami, Lillą i Reginą, aby rozpocząć pracę nad modelem określania wysokiego, niskiego i oczekiwanych przypadków wokół możliwości komercjalizacji usług mid-office i back-office.",5,4
"Jeśli twój harmonogram miałby nagle się zwolnić, po prostu zadzwoń do mnie i zobaczę, czy mogę zmienić swój, aby wcześniej zjeść lunch.",5,3
"Albo moglibyśmy spotkać się w czasie przerwy w miejscu innym niż I-House i nadrobić zaległości, jeśli chcesz.",5,4
"Jeśli chcesz się z nim skontaktować, czekam 5-10 minut i dzwonię na jego telefon komórkowy.",5,4
"Ponadto muszę znać charakter omawianych informacji poufnych, abyśmy mogli chronić omawiane informacje.",5,4
Rezerwacji na obiadokolację możemy dokonać około 6:30 - 7:00 w restauracji w odległości 10 minut jazdy samochodem od hotelu.,5,3
Zorganizuj telekonferencję na jutro o 830 czasu Houston i podaj następujące szczegóły:,5,3
I umów się na spotkanie z nim również w czwartek.,5,4
Czy możesz do mnie zadzwonić kiedyś we wtorek po południu.,5,4
"Poprosiliśmy naszych geofizyków o pomoc i szykujemy się na spotkanie w czwartek, aby przedstawić im nasze pomysły.",5,4
"Tylko notatka, aby przypomnieć o czymś, o czym musimy jutro porozmawiać, Transco Zone 6.",5,4
"Prosimy o przesłanie odpowiedzi, abyśmy wiedzieli, czy działamy, zanim zaczniemy wysyłać dane w ciągu tygodnia.",5,4
"Proszę zadzwonić do Iwony Santkiewicz i powiedzieć mu, że jeden z naszych prawników ds. rozwoju, Anatoli, chciałby 2 bilety na piątek.",5,3
Czy możemy poczekać z wysłaniem do wtorku?,5,4
Sprawdź to – w ostatnią niedzielę złapałem i wypuściłem tę ładną kurę Chinook na rzece Eel w hrabstwie Southern Humbolt.,5,3
"Czy możesz do mnie zadzwonić, kiedy masz minutę we wtorek po południu (po 13:00, kiedy handel jest skończony), a przyjdę i do ciebie przyjdę.",5,4
"Daj z siebie wszystko Kalinie Mikołajem i powiedz mu, żeby się pospieszył i rozwiązał ten bałagan.",5,3
Proszę przejrzeć i dać mi swoje komentarze.,5,4
"Czy Pam zrobiła dla Ciebie należytą staranność przed wysłaniem tego e:maila, abyś wiedział, że ta data i godzina obowiązuje dla wszystkich?",5,4
"Jeśli chcesz wziąć udział, czy powinniśmy zadzwonić z sali konferencyjnej?",5,3
"Bonifacy Patajczak, spotkajmy się za mniej więcej tydzień, aby omówić postępy.",5,5
Kiedy myślisz o spotkaniu z Eulalią Grządziak?,5,3
"Wieści z Indii wciąż są ponure i mam kilka rzeczy, o których chcę z wami porozmawiać.",5,4
"Prześlij mi również to, co jestem ci winien za lot samolotem i golfa oraz udział w kolacjach, napojach, guacamole itp.",5,3
Porozmawiajmy o tym.,5,5
Zaplanowaliśmy już wewnętrzną prezentację na 7 grudnia. Prosimy o rezerwację.,5,4
"Teraz, gdy zadaliśmy pierwszy cios, zbierzmy wszystkich, aby omówić nasze przyszłe kroki.",5,4
"Chłopaki, czy możecie przekazać swoje części.",5,4
Będziemy musieli gdzieś się spotkać.,5,4
Sprawdź te zaznaczone poniżej,5,3
Czy jest na ten tydzień?,5,3
Proszę porozmawiaj z Eriką Łapińską-Kowalczyk niech tu coś ustawimy.,5,4
"Sprawdź w styczniu z pomiarem, aby ustalić, czy ta objętość jest prawidłowa.",5,4
"Czy możesz jej to wysłać? Kopiuj też Bernardynę Śliczną-Sawiński, Kazimierza i Leonardę.",5,4
Do kogo mogę zacząć wysyłać te wszystkie pytania dotyczące wyceny?,5,3
"Hej, o której umówiłeś się z nami jutro u Jocka i Marianny Miszczycha?",5,4
Czy możesz to dla mnie przetestować?,5,4
"Jeśli chcesz porozmawiać, zadzwoń do mnie pod numer 415.782.7822.",5,3
"Doceniamy Twoją opinię lub pytanie i postaramy się odpowiedzieć, kiedy tylko będzie to możliwe.",5,4
Czy możesz jutro odbyć telekonferencję z Albertem i mną?,5,4
Czy udało Ci się namierzyć przesyłkę?,5,4
"Henryku, zakładam, że w ciągu najbliższych kilku dni będziesz przygotowywał dla mnie ostateczny pakiet 2000 i/s.",5,4
"Umów się na 30 minutowe spotkanie z Marzenną Żołnierzewicz, a my przejdziemy przez to i przekażę Ci kopię wszystkich informacji.",5,4
Porozmawiajmy jak najszybciej.,5,5
"Czy możesz skontaktować się z Tamarą i dowiedzieć się, jakie są jej problemy?",5,4
"Możemy przedyskutować to, co uważasz za najbardziej efektywną drogę naprzód, oraz wszelkie dodatki itp., które uważasz za konieczne.",5,4
"Czy możesz się ze mną spotkać we wtorek rano ze wszystkimi umowami, jakie mają z nami.",5,4
"Chciałbym omówić cały łańcuch procesów w ramach harmonogramów, obowiązków personelu i kluczowych elementów działań.",5,4
"Proszę, zdobądź to dla Marka.",5,4
"Czy mogę uzyskać więcej zasobów, aby bardziej agresywnie objąć rynek?",5,3
"Organizujemy grupę z RAC, aby wysłać kilka osób na tę konferencję ze zniżką do pełnego kosztu.",5,3
Proszę przesyłać do Reginy Wiszkuckiej.,5,4
"Dla mnie wygląda dobrze - myślę, że powinieneś kazać im to jak najszybciej złożyć.",5,4
"W ramach kontynuacji tych spotkań i naszego QBR, Euzebiusz Włodkowic i ja chcielibyśmy, abyś przygotował bardziej sprecyzowany biznesplan na przyszłość.",5,4
"I wyślij mi e-mail z resztą wydatków, kiedy będziesz miał okazję, abym mógł wypisać Ci czek na wszystko (samolot, telefon, golf itp. itp.)",5,4
"Zadzwoń do mnie, jeśli chcesz o tym porozmawiać.",5,4
"Zobaczmy, co wymyśliłeś po rozmowie z Presto i in.",5,4
Czy możesz przekazać tę część?,5,4
Możesz też z nią sprawdzić?,5,4
Z przyjemnością spotkam się z tobą 13-go.,5,4
"Zakładam, że na dyskusję weźmiesz Argentyńczyków do Brazylii i każdego innego, który uznasz za odpowiedni.",5,3
i zadzwoń do mnie już dziś!,5,4
Proszę znaleźć załączony plik OPML.,5,2
